text,gold_label,pred_intent,gold_order_status,pred_order_status,gold_cancel_scope,pred_cancel_scope,err_type,error,raw_output,source
我的订单,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
订单怎么样,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我的报单,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我的报价,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我今天有什么单,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
今日订单成交情况,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
看看今日的全部操作,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
查询今日操作记录,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
查询订单,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
订单状态,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我的订单到哪一步了,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
成了吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
撤了吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
成交情况,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我之前的买入操作是否成功了,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我之前的卖出操作是否成功了,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我的单子还没成交吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
为什么还没成交,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我的单子挂上了吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
（债券代码）挂上了吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
我撤单成功了吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
查询已成交订单,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
查询已撤单订单,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
查询进行中订单,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
帮我看看还有没有没成交的订单,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
在挂订单有哪些,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
成了的订单有哪些,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
bid在挂有哪些单？,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
ofr在挂有哪些单？,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
请汇总今天已完成的订单,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
交易汇总,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
汇总交易,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
交易情况,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
交易状态,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
买入/卖出操作是否执行,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
今天成交了多少,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
成了多少单,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
交易怎么样,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
之前的操作/订单/交易都好了吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
交易顺利吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
成交记录,bond_query,,completed,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
交易记录,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
交易/订单明细,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
查询交易/交易查询,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
修改发XX请求,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
改为发XX请求,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
更改发XX请求,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
发我请求（需识别客户身份）,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
发XX请求,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
请求对象需要改一下,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
改一下请求对象,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
更改请求对象,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
修改请求对象,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
更换请求对象,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
请求对象有问题,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
能改请求对象吗,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
人工,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
客服,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
转人工,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
人工客服,transfer_human,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,excel
Bid 200012.IB 8000万 2.88 今+1,bond_inquiry,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
ofr 240205 6000万 2.31 T+0,bond_inquiry,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
卖 230026.IB 5亿 2.55 后天交割,bond_inquiry,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
2.65 bid 190015 2000万,bond_inquiry,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
bid 200012.IB 8000万,bond_inquiry,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
240205 ofr 2.31,bond_inquiry,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
买点 230026 3亿,bond_inquiry,,,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
把我的单都撤了,bond_inquiry,,,,all,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
撤销全部挂单,bond_inquiry,,,,all,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
ref 200012.IB,bond_inquiry,,,,specified,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
ref ofr 6000万,bond_inquiry,,,,specified,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
我的单都什么情况,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
今天交易做得如何,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
我的操作都还顺吗,bond_query,,all,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
有哪些还挂着没成,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
没成交的还剩几个,bond_query,,pending,,,,intent+parse,"APIError: Error code: 400 - {'error': {'message': 'Invalid model identifier ""aliyun/deepseek-v4-flash"". No matching loaded model found, and just-in-time (JIT) model loading is disabled. Ensure you have this model loaded first. JIT loading can be enabled in LM Studio Server Settings.', 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_found'}}",,generated
